iter	TotalF1	MultiClass
0	0.5042092972	1.088736597
1	0.5067926892	1.081330458
2	0.515144003	1.072837909
3	0.5148000656	1.064469789
4	0.512132061	1.056282818
5	0.5115175392	1.050417303
6	0.51095897	1.045108424
7	0.5101505787	1.040069768
8	0.5136461948	1.034688165
9	0.5191354755	1.029888927
10	0.5201553458	1.025646602
11	0.5211399265	1.021848935
12	0.5235059315	1.018280339
13	0.5229416445	1.015207721
14	0.5186257845	1.0118825
15	0.5235337807	1.007704702
16	0.5265554131	1.004386663
17	0.5243333222	1.000244882
18	0.5270221906	0.9966855418
19	0.5262839675	0.9942179157
20	0.5273017631	0.9913019704
21	0.5286220207	0.9882357266
22	0.529864406	0.9857030269
23	0.5299755213	0.983389607
24	0.5328788339	0.9810493426
25	0.5328333007	0.9780371506
26	0.5316629486	0.9762903088
27	0.5334305799	0.9745238653
28	0.5337272369	0.9725805926
29	0.5341897465	0.9701645072
30	0.5347534273	0.9684559223
31	0.5369605943	0.9657509838
32	0.5388212336	0.9642367102
33	0.538451623	0.9624586479
34	0.5394844354	0.9609078597
35	0.5399085519	0.9592704998
36	0.5404280234	0.9572221867
37	0.5414798526	0.955940347
38	0.5418793101	0.9547483251
39	0.5433017502	0.9530119219
40	0.5444327044	0.9516148543
41	0.5450387401	0.9501244002
42	0.5461631773	0.9484520057
43	0.547457242	0.9472585451
44	0.547594956	0.9456475261
45	0.5487922609	0.944605552
46	0.548898186	0.9434375848
47	0.5492973601	0.942319784
48	0.550060598	0.9411501767
49	0.5522621136	0.9397708703
50	0.5522300616	0.9388203237
51	0.5533157859	0.9378836826
52	0.5537954427	0.9367040307
53	0.5536299619	0.9353169923
54	0.5554455455	0.9340850688
55	0.5547077124	0.9330336584
56	0.5558998047	0.9317289801
57	0.5597762718	0.9304296633
58	0.5591261132	0.9292922507
59	0.5594292903	0.9283287784
60	0.5594884388	0.9276401802
61	0.5605285768	0.9268139742
62	0.5616815907	0.9255544704
63	0.5619556334	0.924427677
64	0.5645850202	0.922686998
65	0.5657853167	0.92171898
66	0.5643508518	0.9212715734
67	0.563815529	0.9206843114
68	0.5639874647	0.9195931986
69	0.5661172454	0.9185574582
70	0.5679501413	0.9179463673
71	0.5679347837	0.9171822951
72	0.5707132416	0.9159298142
73	0.5686523484	0.9149092697
74	0.5699535124	0.9141041545
75	0.5708449914	0.9130928452
76	0.5712867062	0.9120344607
77	0.5716716935	0.9111168036
78	0.5719802783	0.9107657413
79	0.5726316028	0.910412738
80	0.5723075236	0.9097721047
81	0.5713120691	0.9092537487
82	0.5719621277	0.9084324616
83	0.571169566	0.9072851872
84	0.5681528392	0.9064110479
85	0.5688256371	0.9058118295
86	0.570482599	0.9051232223
87	0.5700986265	0.904502589
88	0.570708652	0.9035256008
89	0.5698572541	0.9028753572
90	0.5714479416	0.9022131467
91	0.5716874427	0.9017347085
92	0.5729752619	0.9012105442
93	0.5737136824	0.9007356022
94	0.5738802058	0.9002055716
95	0.572837498	0.8997022207
96	0.5750755416	0.8986886075
97	0.5767475014	0.8976045608
98	0.580136406	0.8967011313
99	0.5790928285	0.8960044375
100	0.5775293845	0.8952744668
101	0.5774210929	0.894896328
102	0.5783577193	0.8941902571
103	0.5794328521	0.8937787373
104	0.5792285805	0.8932309046
105	0.5791208916	0.8925502147
106	0.5793062669	0.8918222315
107	0.5807763403	0.8909862775
108	0.5804803766	0.8907110809
109	0.5826583487	0.8902183347
110	0.5844923303	0.8896614945
111	0.5868299224	0.8886944638
112	0.5858946415	0.8880176844
113	0.5877756204	0.8873995009
114	0.5879144979	0.887042561
115	0.5891464813	0.886039469
116	0.5883389707	0.885313705
117	0.5880355955	0.884944691
118	0.5872356057	0.8843033489
119	0.5872764658	0.8839448536
120	0.587455123	0.8835990699
121	0.589330191	0.88288198
122	0.589696806	0.8824676533
123	0.5906933218	0.8815646748
124	0.5917501928	0.8809684792
125	0.5917738251	0.8803717816
126	0.5918098225	0.8800916573
127	0.5922573024	0.8797418297
128	0.5934150577	0.8791928025
129	0.5943401204	0.8786426089
130	0.5947695361	0.877953913
131	0.5946830484	0.8777874141
132	0.5954980278	0.8775419415
