iter	Passed	Remaining
0	51	15356
1	57	8586
2	68	6769
3	72	5393
4	76	4533
5	81	3980
6	85	3576
7	88	3228
8	91	2971
9	95	2765
10	98	2590
11	101	2443
12	105	2326
13	108	2217
14	111	2120
15	115	2047
16	118	1971
17	121	1908
18	125	1853
19	129	1806
20	132	1755
21	135	1706
22	137	1658
23	140	1615
24	143	1575
25	146	1542
26	149	1510
27	151	1475
28	155	1448
29	157	1419
30	160	1392
31	163	1366
32	165	1341
33	168	1321
34	171	1302
35	175	1284
36	177	1264
37	180	1244
38	183	1227
39	186	1210
40	189	1195
41	192	1182
42	195	1166
43	198	1154
44	201	1142
45	204	1129
46	207	1115
47	210	1102
48	213	1095
49	217	1086
50	220	1077
51	223	1067
52	227	1058
53	230	1049
54	233	1041
55	237	1032
56	240	1027
57	244	1021
58	248	1014
59	252	1008
60	255	1000
61	259	994
62	262	987
63	266	980
64	269	974
65	273	970
66	277	964
67	281	958
68	284	952
69	287	944
70	290	936
71	293	929
72	297	924
73	300	917
74	303	909
75	307	905
76	310	898
77	312	890
78	315	883
79	318	876
80	321	869
81	324	862
82	327	855
83	330	848
84	332	841
85	335	833
86	337	826
87	340	820
88	343	813
89	345	806
90	348	799
91	350	793
92	354	788
93	356	781
94	359	775
95	362	770
96	365	763
97	367	757
98	370	751
99	372	745
100	375	740
101	378	735
102	381	729
103	384	723
104	386	718
105	389	713
106	392	707
107	395	703
108	398	697
109	402	694
110	405	689
111	407	684
112	410	679
113	413	675
114	417	670
115	420	666
116	423	662
117	426	657
118	429	652
119	431	647
120	434	642
121	437	637
122	439	632
123	443	628
124	445	624
125	448	619
126	451	615
127	455	611
128	458	607
129	460	602
130	464	598
131	467	595
132	470	591
133	474	587
134	477	583
135	479	578
136	482	574
137	485	569
138	488	565
139	491	561
140	493	556
141	496	552
142	499	547
143	502	543
144	505	540
145	508	536
146	511	532
147	514	528
148	518	524
149	520	520
150	524	517
151	527	513
152	530	509
153	533	505
154	536	501
155	539	497
156	541	493
157	545	489
158	547	485
159	551	482
160	554	478
161	556	474
162	560	470
163	562	466
164	566	463
165	569	459
166	572	455
167	576	452
168	579	448
169	581	445
170	585	441
171	588	437
172	590	433
173	593	430
174	596	426
175	599	422
176	602	418
177	606	415
178	609	412
179	613	408
180	616	405
181	619	401
182	622	398
183	625	394
184	628	390
185	632	387
186	634	383
187	637	380
188	640	376
189	643	372
190	646	368
191	649	365
192	652	361
193	655	358
194	658	354
195	661	351
196	664	347
197	667	343
198	670	340
199	673	336
200	675	332
201	678	329
202	682	326
203	685	322
204	688	319
205	691	315
206	694	312
207	698	308
208	701	305
209	704	301
210	706	298
211	709	294
212	712	291
213	715	287
214	717	283
215	719	279
216	721	276
217	724	272
218	726	268
219	729	265
220	731	261
221	734	258
222	737	254
223	740	251
224	743	247
225	746	244
226	748	240
227	751	237
228	754	233
229	757	230
230	759	226
231	762	223
232	765	220
233	767	216
234	770	213
235	773	209
236	775	206
237	779	203
238	782	199
239	786	196
240	788	193
241	791	189
242	794	186
243	797	182
244	799	179
245	802	176
246	805	172
247	808	169
248	811	166
249	813	162
250	816	159
251	819	156
252	822	152
253	825	149
254	827	146
255	830	142
256	833	139
257	836	136
258	839	132
259	841	129
260	844	126
261	847	122
262	850	119
263	852	116
264	855	112
265	858	109
266	863	106
267	866	103
268	869	100
269	871	96
270	874	93
271	877	90
272	879	87
273	882	83
274	885	80
275	888	77
276	890	73
277	893	70
278	896	67
279	899	64
280	902	60
281	904	57
282	907	54
283	910	51
284	913	48
285	916	44
286	919	41
287	921	38
288	925	35
289	928	32
290	931	28
291	934	25
292	937	22
293	940	19
294	943	15
295	946	12
296	949	9
297	952	6
298	955	3
299	958	0
